latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
33.544701,-79.188299,015,037,1834,2509,2025-03-13,1548,L9,high,D
33.544431,-79.188304,015,037,1834,2510,2025-03-13,1548,L9,high,D
33.54416,-79.18831,015,037,1834,2511,2025-03-13,1548,L9,low,D
33.550917,-79.187846,015,037,1835,2486,2025-03-13,1548,L9,high,D
33.550646,-79.187852,015,037,1835,2487,2025-03-13,1548,L9,high,D
33.544967,-79.18797,015,037,1835,2508,2025-03-13,1548,L9,high,D
33.544696,-79.187976,015,037,1835,2509,2025-03-13,1548,L9,high,D
33.544426,-79.187981,015,037,1835,2510,2025-03-13,1548,L9,high,D
33.544155,-79.187987,015,037,1835,2511,2025-03-13,1548,L9,low,D
33.551182,-79.187517,015,037,1836,2485,2025-03-13,1548,L9,high,D
33.550912,-79.187523,015,037,1836,2486,2025-03-13,1548,L9,medium,D
33.544962,-79.187647,015,037,1836,2508,2025-03-13,1548,L9,high,D
33.544692,-79.187653,015,037,1836,2509,2025-03-13,1548,L9,low,D
33.544421,-79.187658,015,037,1836,2510,2025-03-13,1548,L9,high,D
33.544151,-79.187664,015,037,1836,2511,2025-03-13,1548,L9,low,D
33.551178,-79.187194,015,037,1837,2485,2025-03-13,1548,L9,high,D
33.550907,-79.1872,015,037,1837,2486,2025-03-13,1548,L9,low,D
33.544957,-79.187324,015,037,1837,2508,2025-03-13,1548,L9,low,D
33.544416,-79.187336,015,037,1837,2510,2025-03-13,1548,L9,medium,D
33.551173,-79.186871,015,037,1838,2485,2025-03-13,1548,L9,high,D
33.544952,-79.187001,015,037,1838,2508,2025-03-13,1548,L9,low,D
33.544948,-79.186678,015,037,1839,2508,2025-03-13,1548,L9,high,D
33.544677,-79.186684,015,037,1839,2509,2025-03-13,1548,L9,low,D
33.544943,-79.186355,015,037,1840,2508,2025-03-13,1548,L9,high,D
33.544673,-79.186361,015,037,1840,2509,2025-03-13,1548,L9,high,D
33.544402,-79.186367,015,037,1840,2510,2025-03-13,1548,L9,high,D
33.544938,-79.186032,015,037,1841,2508,2025-03-13,1548,L9,high,D
33.544668,-79.186038,015,037,1841,2509,2025-03-13,1548,L9,high,D
33.544397,-79.186044,015,037,1841,2510,2025-03-13,1548,L9,high,D
33.544663,-79.185715,015,037,1842,2509,2025-03-13,1548,L9,medium,D
33.544393,-79.185721,015,037,1842,2510,2025-03-13,1548,L9,low,D
33.544658,-79.185392,015,037,1843,2509,2025-03-13,1548,L9,high,D
33.544388,-79.185398,015,037,1843,2510,2025-03-13,1548,L9,medium,D
33.544924,-79.185063,015,037,1844,2508,2025-03-13,1548,L9,low,D
33.544383,-79.185075,015,037,1844,2510,2025-03-13,1548,L9,low,D
33.54519,-79.184735,015,037,1845,2507,2025-03-13,1548,L9,high,D
33.544919,-79.18474,015,037,1845,2508,2025-03-13,1548,L9,high,D
33.544649,-79.184746,015,037,1845,2509,2025-03-13,1548,L9,medium,D
33.545185,-79.184412,015,037,1846,2507,2025-03-13,1548,L9,high,D
33.544915,-79.184417,015,037,1846,2508,2025-03-13,1548,L9,high,D
33.544644,-79.184423,015,037,1846,2509,2025-03-13,1548,L9,high,D
33.54518,-79.184089,015,037,1847,2507,2025-03-13,1548,L9,high,D
33.54491,-79.184094,015,037,1847,2508,2025-03-13,1548,L9,high,D
33.544639,-79.1841,015,037,1847,2509,2025-03-13,1548,L9,high,D
33.545176,-79.183766,015,037,1848,2507,2025-03-13,1548,L9,medium,D
33.544905,-79.183771,015,037,1848,2508,2025-03-13,1548,L9,high,D
33.544635,-79.183777,015,037,1848,2509,2025-03-13,1548,L9,high,D
33.528137,-79.184122,015,037,1848,2570,2025-03-13,1548,L9,low,D
33.545171,-79.183443,015,037,1849,2507,2025-03-13,1548,L9,medium,D
33.5449,-79.183448,015,037,1849,2508,2025-03-13,1548,L9,high,D
33.54463,-79.183454,015,037,1849,2509,2025-03-13,1548,L9,high,D
33.530026,-79.18376,015,037,1849,2563,2025-03-13,1548,L9,medium,D
33.529755,-79.183765,015,037,1849,2564,2025-03-13,1548,L9,low,D
33.545437,-79.183114,015,037,1850,2506,2025-03-13,1548,L9,high,D
33.545166,-79.18312,015,037,1850,2507,2025-03-13,1548,L9,high,D
33.544896,-79.183125,015,037,1850,2508,2025-03-13,1548,L9,high,D
33.544625,-79.183131,015,037,1850,2509,2025-03-13,1548,L9,high,D
33.530021,-79.183437,015,037,1850,2563,2025-03-13,1548,L9,high,D
33.52975,-79.183442,015,037,1850,2564,2025-03-13,1548,L9,high,D
33.545432,-79.182791,015,037,1851,2506,2025-03-13,1548,L9,high,D
33.545161,-79.182797,015,037,1851,2507,2025-03-13,1548,L9,high,D
33.544891,-79.182802,015,037,1851,2508,2025-03-13,1548,L9,high,D
33.530287,-79.183108,015,037,1851,2562,2025-03-13,1548,L9,low,D
33.530016,-79.183114,015,037,1851,2563,2025-03-13,1548,L9,low,D
33.545427,-79.182468,015,037,1852,2506,2025-03-13,1548,L9,medium,D
33.545157,-79.182474,015,037,1852,2507,2025-03-13,1548,L9,medium,D
33.544886,-79.182479,015,037,1852,2508,2025-03-13,1548,L9,high,D
33.544616,-79.182485,015,037,1852,2509,2025-03-13,1548,L9,medium,D
33.530282,-79.182785,015,037,1852,2562,2025-03-13,1548,L9,high,D
33.545422,-79.182145,015,037,1853,2506,2025-03-13,1548,L9,low,D
33.545152,-79.182151,015,037,1853,2507,2025-03-13,1548,L9,medium,D
33.544881,-79.182156,015,037,1853,2508,2025-03-13,1548,L9,high,D
33.545147,-79.181828,015,037,1854,2507,2025-03-13,1548,L9,medium,D
33.544877,-79.181834,015,037,1854,2508,2025-03-13,1548,L9,high,D
33.545683,-79.181494,015,037,1855,2505,2025-03-13,1548,L9,low,D
33.545142,-79.181505,015,037,1855,2507,2025-03-13,1548,L9,medium,D
33.544872,-79.181511,015,037,1855,2508,2025-03-13,1548,L9,high,D
33.545138,-79.181182,015,037,1856,2507,2025-03-13,1548,L9,medium,D
33.544867,-79.181188,015,037,1856,2508,2025-03-13,1548,L9,low,D
33.545674,-79.180848,015,037,1857,2505,2025-03-13,1548,L9,medium,D
33.545403,-79.180853,015,037,1857,2506,2025-03-13,1548,L9,low,D
33.545133,-79.180859,015,037,1857,2507,2025-03-13,1548,L9,low,D
33.54621,-79.180513,015,037,1858,2503,2025-03-13,1548,L9,high,D
33.54594,-79.180519,015,037,1858,2504,2025-03-13,1548,L9,high,D
33.545669,-79.180525,015,037,1858,2505,2025-03-13,1548,L9,high,D
33.545399,-79.18053,015,037,1858,2506,2025-03-13,1548,L9,high,D
33.545128,-79.180536,015,037,1858,2507,2025-03-13,1548,L9,high,D
33.544858,-79.180542,015,037,1858,2508,2025-03-13,1548,L9,high,D
33.544587,-79.180547,015,037,1858,2509,2025-03-13,1548,L9,high,D
33.546205,-79.18019,015,037,1859,2503,2025-03-13,1548,L9,high,D
33.545935,-79.180196,015,037,1859,2504,2025-03-13,1548,L9,high,D
33.545664,-79.180202,015,037,1859,2505,2025-03-13,1548,L9,high,D
33.545394,-79.180207,015,037,1859,2506,2025-03-13,1548,L9,high,D
33.545123,-79.180213,015,037,1859,2507,2025-03-13,1548,L9,high,D
33.544853,-79.180219,015,037,1859,2508,2025-03-13,1548,L9,high,D
33.544583,-79.180224,015,037,1859,2509,2025-03-13,1548,L9,high,D
33.5462,-79.179867,015,037,1860,2503,2025-03-13,1548,L9,high,D
33.54593,-79.179873,015,037,1860,2504,2025-03-13,1548,L9,high,D
33.54566,-79.179879,015,037,1860,2505,2025-03-13,1548,L9,high,D
33.545389,-79.179884,015,037,1860,2506,2025-03-13,1548,L9,high,D
