centroid_cluster,latitude,longitude,count
410,-20.74493577621812,147.545770138687,50
411,-32.67984382871959,150.207220207775,1226
412,-14.545999190154788,126.38508440411103,220
413,-22.63915475479284,145.55309223713522,25
414,-22.580756565051868,148.58971391304294,26
415,-18.227120583068817,123.36682088613858,141
416,-19.04451584325218,121.98056045930865,38
417,-31.74227763866684,134.39118841996117,15
418,-13.436452802822338,142.2065356088966,149
419,-31.928413652426638,122.84338554479173,126
420,-20.782207618541772,115.44532052913011,7
421,-16.433687739892235,141.58729044382676,185
422,-24.289448113357423,150.91634146906677,74
423,-14.878500523547272,126.94764908578779,282
424,-27.136507149918625,145.21202021481758,2
425,-27.61579890658836,150.19425097028395,18
426,-29.98180186155495,152.0456626468495,626
427,-33.972342896195464,142.9284440704836,11
428,-18.03915133777912,138.01728127058038,34
429,-16.555850495216937,125.84437798814888,33
430,-29.162226783983783,114.97102748268611,11
431,-16.490984509674178,137.66887672752014,323
432,-21.475159501814417,139.7956428290901,116
433,-30.951516529291695,151.14682773966567,173
434,-42.11593839937181,147.96696033486938,83
435,-25.24050326977954,129.06160889602677,55
436,-23.642903597730026,126.56361562308011,26
437,-28.44500265040242,153.26513040299372,98
438,-22.541068855530376,117.82937115904026,34
439,-20.643398847733433,136.2456138028603,27
440,-19.48950088350851,146.67630375469574,32
441,-33.19363680214227,120.01783341025072,117
442,-13.302830025423633,133.5566806393733,70
443,-19.183018080309203,139.42091710665554,118
444,-12.271653734541761,132.40759391096967,58
445,-34.80498462630747,117.26943294573886,120
446,-24.021350550389975,151.64456558447182,21
447,-31.555239933763986,123.99720827568328,250
448,-21.467928040388674,148.59775576575242,71
449,-26.442281614949206,123.21512522347996,16
450,-17.351092885450367,142.81987586550622,215
451,-29.290398168938502,152.87374165632997,573
452,-31.243629600990676,123.6658601262519,598
453,-35.73192094459731,137.33172202005966,95
454,-33.37748158047322,135.33844859143983,23
455,-18.42375945194173,144.62977131767445,244
456,-28.080241557392643,151.13431031281507,35
457,-16.67533464569947,123.74999420438891,252
458,-23.796030772224796,149.73442853434068,30
459,-11.482992380257606,130.5357326538945,40
460,-35.82135955062717,136.724643546415,575
461,-30.166472401695778,120.19426739081132,68
462,-35.13419085102058,150.044428658212,762
463,-30.801238563377233,141.92512461949116,3
464,-19.598644287432645,144.61004654834318,110
465,-24.796408708755628,147.0239561160347,144
466,-23.765553796598216,114.70500110732826,3
467,-20.760543216069262,116.86114989056851,27
468,-24.43252345191857,148.80928838916435,35
