system:index,burn,count,date,.geo
2019_11_01_+35525+11277,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.3013632584871,-11.41788206487143]}"
2019_11_01_+35527+11276,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.3197641777356,-11.411886594256371]}"
2019_11_01_+35535+11451,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.2366804881647,-12.985697630710986]}"
2019_11_01_+35536+11245,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.25651157237294,-11.121855703252592]}"
2019_11_01_+35536+11262,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.3395431777058,-11.285981711340002]}"
2019_11_01_+35559+11446,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.43429548810064,-12.9362349981367]}"
2019_11_01_+35563+11189,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.27142652362448,-10.623482208375302]}"
2019_11_01_+35568+11187,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.30396869701852,-10.611491267145166]}"
2019_11_01_+35569+11219,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.4535419769084,-10.899273856668296]}"
2019_11_02_+31785+13460,1,1,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.56107514510705,-31.05304832920997]}"
2019_11_02_+31793+13487,1,3,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.96513038545096,-31.28986941850505]}"
2019_11_02_+31803+13486,1,3,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.05152098606159,-31.280876212582452]}"
2019_11_02_+32074+12495,1,2,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2784027215734,-22.37010801094179]}"
2019_11_02_+32110+13110,1,1,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.08896200670198,-27.90542625630074]}"
2019_11_02_+32284+13097,1,2,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.72507854269698,-27.784017976345666]}"
2019_11_02_+32499+13194,1,6,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.93800613722176,-28.654860083183895]}"
2019_11_02_+32527+13187,1,2,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.15711363920647,-28.59790311234077]}"
2019_11_02_+32532+13162,1,2,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.94042405275889,-28.368576361314528]}"
2019_11_02_+32588+13216,1,1,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[129.10877297856356,-28.85870608409611]}"
2019_11_02_+32629+12215,1,1,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[120.61481742344701,-19.856506955575703]}"
2019_11_02_+32746+13042,1,1,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.84030468537998,-27.293888253564088]}"
2019_11_02_+32749+13042,1,2,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.8705059377254,-27.28939165060279]}"
2019_11_02_+32752+13042,1,15,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.90228864189035,-27.272304559349855]}"
2019_11_02_+32754+13036,1,3,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.85523094138478,-27.236931282720963]}"
2019_11_02_+32757+13034,1,2,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.86808077738942,-27.217446003222005]}"
2019_11_02_+32759+13037,1,5,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.91534539245237,-27.2399290180285]}"
2019_11_02_+32764+13035,1,2,2019-11-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.94437601351316,-27.230935812105905]}"
